"代號","名稱","市場","股價日期","當日走勢","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","PER","PBR","一個月走勢圖","三個月走勢圖","半年走勢圖","一年走勢圖","三年走勢圖"
="1101","台泥","市","06/23","    ","34.9","0","0%","2,651","92.4","34.9","34.85","34.95","34.7","18.5","1.2","    ","    ","    ","    ","    "
="1102","亞泥","市","06/23","    ","26.35","-0.15","-0.57%","2,079","54.9","26.5","26.5","26.65","26.2","22.3","0.73","    ","    ","    ","    ","    "
="1103","嘉泥","市","06/23","    ","10.9","-0.05","-0.46%","241","2.63","10.95","10.95","11","10.9","68.1","0.47","    ","    ","    ","    ","    "
="1104","環泥","市","06/23","    ","24.6","0","0%","435","10.7","24.6","24.6","24.65","24.5","9.5","0.96","    ","    ","    ","    ","    "
="1108","幸福","市","06/23","    ","9.43","0","0%","745","7.03","9.43","9.44","9.45","9.41","16.5","0.8","    ","    ","    ","    ","    "
="1109","信大","市","06/23","    ","10.4","-0.05","-0.48%","81","0.84","10.45","10.4","10.4","10.4","19.3","0.73","    ","    ","    ","    ","    "
="1110","東泥","市","06/23","    ","15.4","-0.05","-0.32%","35","0.54","15.45","15.25","15.4","15.2","513","1.02","    ","    ","    ","    ","    "
="1201","味全","市","06/23","    ","18.5","-0.15","-0.8%","365","6.76","18.65","18.65","18.65","18.45","","2.07","    ","    ","    ","    ","    "
="1203","味王","市","06/23","    ","25","0","0%","19","0.47","25","25","25","24.8","14","1.35","    ","    ","    ","    ","    "
="1210","大成","市","06/23","    ","32.5","-0.5","-1.52%","2,614","85.4","33","32.9","33.1","32.5","10.8","1.47","    ","    ","    ","    ","    "
="1213","大飲","市","06/23","    ","17","-0.05","-0.29%","23","0.4","17.05","17.1","17.1","16.9","63","1.38","    ","    ","    ","    ","    "
="1215","卜蜂","市","06/23","    ","75.7","+0.2","+0.26%","2,579","194","75.5","75.3","76","74.3","14.3","3.05","    ","    ","    ","    ","    "
="1216","統一","市","06/23","    ","60.6","+0.1","+0.17%","10,060","609","60.5","60.5","60.9","60.2","23.5","3.6","    ","    ","    ","    ","    "
="1217","愛之味","市","06/23","    ","7.58","-0.01","-0.13%","399","3.03","7.59","7.6","7.62","7.58","33","0.71","    ","    ","    ","    ","    "
="1218","泰山","市","06/23","    ","16.4","-0.35","-2.09%","2,300","38.1","16.75","16.75","16.75","16.4","78.1","1.6","    ","    ","    ","    ","    "
="1219","福壽","市","06/23","    ","16.65","+0.05","+0.3%","12","0.19","16.6","16.55","16.65","16.55","34.7","1.37","    ","    ","    ","    ","    "
="1220","台榮","市","06/23","    ","10.8","+0.05","+0.47%","122","1.32","10.75","10.75","10.8","10.75","13.5","0.85","    ","    ","    ","    ","    "
="1225","福懋油","市","06/23","    ","52.3","-1.1","-2.06%","22","1.13","53.4","52.9","52.9","52.3","30.8","3.49","    ","    ","    ","    ","    "
="1227","佳格","市","06/23","    ","80.8","+0.2","+0.25%","769","61.9","80.6","80.8","80.8","80","30.4","4.88","    ","    ","    ","    ","    "
="1229","聯華","市","06/23","    ","27.5","0","0%","797","21.9","27.5","27.55","27.55","27.45","11","1.11","    ","    ","    ","    ","    "
="1231","聯華食","市","06/23","    ","35.4","-0.15","-0.42%","224","7.97","35.55","35.65","35.75","35.4","13","1.77","    ","    ","    ","    ","    "
="1232","大統益","市","06/23","    ","94.3","-0.4","-0.42%","31","2.89","94.7","94.6","94.6","94","17","3.84","    ","    ","    ","    ","    "
="1233","天仁","市","06/23","    ","36.95","-0.05","-0.14%","46","1.71","37","36.8","37.15","36.8","20.4","2.35","    ","    ","    ","    ","    "
="1234","黑松","市","06/23","    ","33.35","-0.35","-1.04%","114","3.81","33.7","33.7","33.7","33.3","12.1","0.75","    ","    ","    ","    ","    "
="1235","興泰","市","06/23","    ","28.8","+0.05","+0.17%","26","0.73","28.75","28.75","28.8","28.5","9.44","0.54","    ","    ","    ","    ","    "
="1236","宏亞","市","06/23","    ","17.4","-0.05","-0.29%","13","0.23","17.45","17.4","17.5","17.4","52.7","1.04","    ","    ","    ","    ","    "
="1256","鮮活果汁-KY","市","06/23","    ","135.5","-0.5","-0.37%","45","6.13","136","137","137.5","135.5","16","4","    ","    ","    ","    ","    "
="1262","綠悅-KY","市","06/23","    ","124.5","-3.5","-2.73%","1,046","132","128","129","129.5","124.5","9.61","1.8","    ","    ","    ","    ","    "
="1301","台塑","市","06/23","    ","91.5","+0.5","+0.55%","5,480","503","91","91","92","91","13.4","1.84","    ","    ","    ","    ","    "
="1303","南亞","市","06/23","    ","72.8","+0.3","+0.41%","7,171","522","72.5","72.6","73","72.5","10.6","1.68","    ","    ","    ","    ","    "
="1304","台聚","市","06/23","    ","15.25","+0.05","+0.33%","601","9.15","15.2","15.25","15.3","15.2","13","0.88","    ","    ","    ","    ","    "
="1305","華夏","市","06/23","    ","28.3","-0.3","-1.05%","919","26.1","28.6","28.5","28.6","28.25","8.23","1.75","    ","    ","    ","    ","    "
="1307","三芳","市","06/23","    ","38.05","-0.5","-1.3%","1,134","43.4","38.55","38.6","38.8","38","12.7","1.72","    ","    ","    ","    ","    "
="1308","亞聚","市","06/23","    ","18.95","0","0%","394","7.46","18.95","18.95","19","18.8","13.2","0.99","    ","    ","    ","    ","    "
="1309","台達化","市","06/23","    ","9.5","-0.02","-0.21%","278","2.65","9.52","9.52","9.57","9.5","19","0.91","    ","    ","    ","    ","    "
="1310","台苯","市","06/23","    ","24.4","+0.05","+0.21%","5,533","135","24.35","24.3","24.4","24.2","8.97","1.63","    ","    ","    ","    ","    "
="1312","國喬","市","06/23","    ","20.65","+0.15","+0.73%","2,740","56.6","20.5","20.5","20.8","20.5","7.3","1.02","    ","    ","    ","    ","    "
="1313","聯成","市","06/23","    ","13.35","0","0%","670","8.92","13.35","13.35","13.4","13.25","11.1","0.83","    ","    ","    ","    ","    "
="1314","中石化","市","06/23","    ","11.2","0","0%","3,854","43.3","11.2","11.25","11.3","11.2","160","0.5","    ","    ","    ","    ","    "
="1315","達新","市","06/23","    ","25.4","-0.35","-1.36%","52","1.32","25.75","25.55","25.55","25.35","17.9","0.67","    ","    ","    ","    ","    "
="1316","上曜","市","06/23","    ","24.95","-0.15","-0.6%","87","2.17","25.1","25.25","25.25","24.85","","2.24","    ","    ","    ","    ","    "
="1319","東陽","市","06/23","    ","53.5","-0.3","-0.56%","2,021","108","53.8","54.1","54.2","53.4","13.7","1.64","    ","    ","    ","    ","    "
="1321","大洋","市","06/23","    ","25.8","-0.1","-0.39%","47","1.21","25.9","25.8","25.9","25.7","","1.19","    ","    ","    ","    ","    "
="1323","永裕","市","06/23","    ","33.05","0","0%","29","0.97","33.05","33.2","33.2","33.05","11.2","1.71","    ","    ","    ","    ","    "
="1324","地球","市","06/23","    ","13.05","-0.05","-0.38%","20","0.26","13.1","13.1","13.1","13.05","7.91","0.92","    ","    ","    ","    ","    "
="1325","恆大","市","06/23","    ","20.9","0","0%","17","0.35","20.9","21.1","21.1","20.7","22.7","1.04","    ","    ","    ","    ","    "
