"代號","名稱","市場","股價日期","當日走勢","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","PER","PBR","一個月走勢圖","三個月走勢圖","半年走勢圖","一年走勢圖","三年走勢圖"
="1258","其祥-KY","櫃","06/23","    ","38.1","0","0%","23","0.88","38.1","38.6","38.6","38","11.4","1.65","    ","    ","    ","    ","    "
="1259","安心","櫃","06/23","    ","99.3","-1.2","-1.19%","28","2.8","100.5","102","102","99.2","17.9","1.87","    ","    ","    ","    ","    "
="1264","德麥","櫃","06/23","    ","254","+0.5","+0.2%","17","4.31","253.5","253.5","254","253","17.2","3.64","    ","    ","    ","    ","    "
="1333","恩得利","櫃","06/23","    ","3.98","-0.02","-0.5%","25","0.1","4","3.89","3.98","3.85","","0.72","    ","    ","    ","    ","    "
="1336","台翰","櫃","06/23","    ","18.45","-0.1","-0.54%","2,865","53.5","18.55","18.5","19","18.3","","1.01","    ","    ","    ","    ","    "
="1565","精華","櫃","06/23","    ","628","+1","+0.16%","191","120","627","628","630","621","19.6","5.85","    ","    ","    ","    ","    "
="1566","捷邦","櫃","06/23","    ","18.1","+0.1","+0.56%","271","4.93","18","18.1","18.45","18.05","14.6","1.04","    ","    ","    ","    ","    "
="1569","濱川","櫃","06/23","    ","37.4","+0.25","+0.67%","552","20.6","37.15","37.35","37.6","37.1","","1.84","    ","    ","    ","    ","    "
="1570","力肯","櫃","06/23","    ","14.8","+0.05","+0.34%","44","0.65","14.75","14.7","14.8","14.7","11.6","1.17","    ","    ","    ","    ","    "
="1580","新麥","櫃","06/23","    ","180.5","+1.5","+0.84%","134","24.1","179","181","181","178.5","15.6","4.67","    ","    ","    ","    ","    "
="1584","精剛","櫃","06/23","    ","11.85","-0.15","-1.25%","716","8.52","12","12.1","12.1","11.8","","0.95","    ","    ","    ","    ","    "
="1586","和勤","櫃","06/23","    ","29.4","+0.1","+0.34%","590","17.3","29.3","29.3","29.45","29.3","","1.58","    ","    ","    ","    ","    "
="1591","駿吉-KY","櫃","06/23","    ","30.8","-1","-3.14%","92","2.84","31.8","31","31.7","30.45","15.8","2.62","    ","    ","    ","    ","    "
="1593","祺驊","櫃","06/23","    ","41.55","-0.05","-0.12%","17","0.71","41.6","41.6","41.6","41.3","13.5","1.61","    ","    ","    ","    ","    "
="1595","川寶","櫃","06/23","    ","49.45","-0.5","-1%","81","4.03","49.95","49.8","50","49.15","15.3","1.11","    ","    ","    ","    ","    "
="1597","直得","櫃","06/23","    ","54.5","-0.8","-1.45%","1,622","89.9","55.3","55.3","56.8","54.5","43.2","2.37","    ","    ","    ","    ","    "
="1599","宏佳騰","櫃","06/23","    ","51.5","0","0%","67","3.44","51.5","51.5","51.5","51.1","12.4","1.87","    ","    ","    ","    ","    "
="1742","台蠟","櫃","06/23","    ","11.2","+0.05","+0.45%","88","0.97","11.15","11.2","11.2","11","","1.43","    ","    ","    ","    ","    "
="1752","南光","櫃","06/23","    ","41.4","-0.15","-0.36%","180","7.5","41.55","42","42","41.4","18.6","1.91","    ","    ","    ","    ","    "
="1777","生泰","櫃","06/23","    ","89.8","-0.1","-0.11%","22","1.97","89.9","89.9","89.9","89.1","24","2.62","    ","    ","    ","    ","    "
="1781","合世","櫃","06/23","    ","15.7","+0.7","+4.67%","347","5.36","15","15.15","15.85","15.15","","1.74","    ","    ","    ","    ","    "
="1784","訊聯","櫃","06/23","    ","30.1","+0.85","+2.91%","2,663","80.3","29.25","29.4","30.95","29.25","","1.33","    ","    ","    ","    ","    "
="1785","光洋科","櫃","06/23","    ","12.9","+0.1","+0.78%","1,247","16.2","12.8","12.9","13.15","12.9","13","1.36","    ","    ","    ","    ","    "
="1787","福盈科","櫃","06/23","    ","24.95","-0.1","-0.4%","99","2.47","25.05","25","25","24.85","12.7","1.54","    ","    ","    ","    ","    "
="1788","杏昌","櫃","06/23","    ","92.8","-0.7","-0.75%","17","1.58","93.5","93.5","94","92.8","15","2.02","    ","    ","    ","    ","    "
="1795","美時","櫃","06/23","    ","56.8","0","0%","606","34.6","56.8","57.5","57.7","56.5","","1.81","    ","    ","    ","    ","    "
="1799","易威","櫃","06/23","    ","24.7","-0.4","-1.59%","4,855","126","25.1","26.7","26.8","24.6","","2.31","    ","    ","    ","    ","    "
="1813","寶利徠","櫃","06/23","    ","22.2","-0.85","-3.69%","90","2.05","23.05","23.2","23.2","22.2","10.4","1.07","    ","    ","    ","    ","    "
="1815","富喬","櫃","06/23","    ","14.35","-0.2","-1.37%","2,163","31.2","14.55","14.6","14.6","14.35","14.5","0.83","    ","    ","    ","    ","    "
="2035","唐榮","櫃","06/23","    ","47.5","0","0%","0","0","47.5","47.5","47.5","47.5","18.4","2.63","    ","    ","    ","    ","    "
="2061","風青","櫃","06/23","    ","9.97","0","0%","90","0.9","9.97","10.05","10.05","9.97","32.2","0.97","    ","    ","    ","    ","    "
="2063","世鎧","櫃","06/23","    ","26.8","-0.2","-0.74%","10","0.27","27","27","27.2","26.8","18.1","1.86","    ","    ","    ","    ","    "
="2064","晉椿","櫃","06/23","    ","18.75","+0.2","+1.08%","6","0.11","18.55","18.55","18.75","18.55","12.5","0.92","    ","    ","    ","    ","    "
="2065","世豐","櫃","06/23","    ","38.4","+0.2","+0.52%","47","1.81","38.2","38.3","38.6","38.3","13.1","1.07","    ","    ","    ","    ","    "
="2066","世德","櫃","06/23","    ","101","0","0%","14","1.41","101","100.5","101","100.5","20.2","3.4","    ","    ","    ","    ","    "
="2067","嘉鋼","櫃","06/23","    ","13.05","+0.1","+0.77%","48","0.61","12.95","12.5","13.05","12.5","","1.26","    ","    ","    ","    ","    "
="2221","大甲","櫃","06/23","    ","23.1","-0.15","-0.65%","52","1.2","23.25","23.25","23.3","23.1","14.8","1.45","    ","    ","    ","    ","    "
="2230","泰茂","櫃","06/23","    ","13.3","-0.05","-0.37%","56","0.74","13.35","13.5","13.5","13.15","","1.11","    ","    ","    ","    ","    "
="2233","宇隆","櫃","06/23","    ","95.1","0","0%","359","34.2","95.1","95.6","95.6","95","12.8","2.04","    ","    ","    ","    ","    "
="2235","謚源","櫃","06/23","    ","114.5","+1.5","+1.33%","12","1.38","113","114.5","115","114.5","21.6","3.54","    ","    ","    ","    ","    "
="2596","綠意","櫃","06/23","    ","20.3","-0.05","-0.25%","165","3.35","20.35","20.45","20.45","20.3","4.39","1","    ","    ","    ","    ","    "
="2640","大車隊","櫃","06/23","    ","50","-0.1","-0.2%","16","0.8","50.1","50","50.2","49.9","15.4","1.85","    ","    ","    ","    ","    "
="2641","正德","櫃","06/23","    ","7.52","-0.09","-1.18%","124","0.93","7.61","7.61","7.61","7.48","752","0.74","    ","    ","    ","    ","    "
="2643","捷迅","櫃","06/23","    ","39","-0.4","-1.02%","59","2.31","39.4","39.4","39.4","39","9.33","1.64","    ","    ","    ","    ","    "
="2718","晶悅","櫃","06/23","    ","26","0","0%","0","0","26","26","26","26","173","0.99","    ","    ","    ","    ","    "
="2719","燦星旅","櫃","06/23","    ","12.05","-0.2","-1.63%","37","0.45","12.25","12.15","12.25","12","","1.12","    ","    ","    ","    ","    "
="2724","富驛-KY","櫃","06/23","    ","4.78","-0.01","-0.21%","17","0.07","4.79","4.34","4.78","4.34","","1.32","    ","    ","    ","    ","    "
="2726","雅茗-KY","櫃","06/23","    ","102","-2.5","-2.39%","93","9.68","104.5","105.5","106","102","21.5","5.58","    ","    ","    ","    ","    "
="2729","瓦城","櫃","06/23","    ","252.5","+2.5","+1%","24","6.04","250","252","252.5","251","19.2","2.99","    ","    ","    ","    ","    "
="2732","六角","櫃","06/23","    ","89","-1","-1.11%","262","23.5","90","90","91.8","88.6","20.2","3.03","    ","    ","    ","    ","    "
="2734","易飛網","櫃","06/23","    ","15.45","-0.3","-1.9%","14","0.22","15.75","15.75","15.75","15.4","","0.95","    ","    ","    ","    ","    "
="2736","高野","櫃","06/23","    ","19.85","+0.4","+2.06%","6","0.12","19.45","19.5","19.85","19.45","180","0.72","    ","    ","    ","    ","    "
="2740","天蔥","櫃","06/23","    ","25.7","+0.3","+1.18%","10","0.25","25.4","25.4","25.7","25.15","","2.13","    ","    ","    ","    ","    "
="2916","滿心","櫃","06/23","    ","16.2","+0.2","+1.25%","103","1.65","16","16","16.2","15.8","16.4","1","    ","    ","    ","    ","    "
="2924","東凌-KY","櫃","06/23","    ","55.3","0","0%","104","5.75","55.3","55.2","55.3","55.1","","2.63","    ","    ","    ","    ","    "
